epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4703,1.54885,3.47276,1.48618,0.35854,0.43077,0.25667,0.1731,0.4287,0.76005,0.21376,0.000545744,0.000545744,0.000545744
2,199.199,0.41196,0.66491,0.17623,0.32045,0.6757,0.36498,0.24408,0.38563,0.68704,0.15388,0.000992371,0.000992371,0.000992371
3,277.092,0.37641,0.68036,0.15103,0,0,0,0,nan,nan,nan,0.00132898,0.00132898,0.00132898
4,350.433,0.37858,0.63797,0.1482,0.24965,0.43433,0.19516,0.14493,0.37878,0.70003,0.14407,0.0011719,0.0011719,0.0011719
5,428.284,0.32924,0.62201,0.13081,0.45525,0.4429,0.3009,0.21558,0.34808,0.64319,0.12984,0.00100687,0.00100687,0.00100687
6,522.208,0.31172,0.61602,0.11988,0.44854,0.45246,0.28924,0.2174,0.31731,0.63576,0.1175,0.000841835,0.000841835,0.000841835
7,594.004,0.30297,0.60325,0.11505,0.3919,0.43033,0.32445,0.2467,0.29374,0.61565,0.10471,0.000676802,0.000676802,0.000676802
8,678.863,0.2803,0.61321,0.10203,0.43322,0.45768,0.32152,0.24967,0.28368,0.64178,0.10061,0.000511769,0.000511769,0.000511769
9,778.024,0.26792,0.57926,0.0938,0.42151,0.45649,0.29602,0.22209,0.28432,0.67676,0.10292,0.000346736,0.000346736,0.000346736
10,849.764,0.2569,0.5565,0.09273,0.47667,0.49089,0.36112,0.28316,0.28939,0.6626,0.109,0.000181703,0.000181703,0.000181703
