epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.929,1.36227,2.2614,1.40252,0.11555,0.12841,0.07608,0.03407,2.33489,5.54065,2.09223,0.000545744,0.000545744,0.000545744
2,179.792,1.16732,1.54973,1.22869,0.00134,0.06296,0.01705,0.01314,2.12193,5.99327,2.42837,0.000992371,0.000992371,0.000992371
3,279.679,1.2361,1.69128,1.2287,0.07963,0.03448,0.02415,0.01325,2.85339,inf,2.49198,0.00132898,0.00132898,0.00132898
4,373.129,1.194,1.4721,1.16118,0.22202,0.03896,0.03497,0.0242,3.7551,9.72747,3.68704,0.0011719,0.0011719,0.0011719
5,471.679,1.15065,1.35109,1.13961,0.44445,0.22485,0.15693,0.09579,1.88901,3.1941,1.44109,0.00100687,0.00100687,0.00100687
6,583.651,1.0999,1.29944,1.09704,0.26814,0.44768,0.29893,0.1893,1.777,4.01845,1.53834,0.000841835,0.000841835,0.000841835
7,692.621,1.06674,1.18348,1.07685,0.4745,0.70622,0.45805,0.33204,1.11664,1.43879,1.06044,0.000676802,0.000676802,0.000676802
8,809.452,0.99068,1.15336,1.04911,0.43779,0.83263,0.4731,0.33839,1.01041,1.17279,1.02742,0.000511769,0.000511769,0.000511769
9,923.929,0.95444,1.07436,1.01711,0.45967,0.77418,0.46979,0.34531,0.98061,1.15015,1.01189,0.000346736,0.000346736,0.000346736
10,1046.86,0.91677,1.03649,1.00186,0.44287,0.8473,0.46764,0.34541,0.94926,1.08309,0.99274,0.000181703,0.000181703,0.000181703
