epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0231,1.24378,3.66558,1.22909,0.00154,0.44193,0.06753,0.04332,1.15311,3.56916,1.20117,0.000545744,0.000545744,0.000545744
2,46.8815,1.16417,2.46591,1.15901,0.42587,0.73619,0.43246,0.27489,1.22611,1.94758,1.15958,0.000992371,0.000992371,0.000992371
3,69.1277,1.15657,2.13263,1.16166,0.43146,0.69925,0.44028,0.28368,1.27393,1.79007,1.18241,0.00132898,0.00132898,0.00132898
4,90.8731,1.11461,1.84039,1.14661,0.44244,0.80923,0.45747,0.30808,1.13356,1.61495,1.11488,0.0011719,0.0011719,0.0011719
5,111.241,1.08779,1.60991,1.11936,0.45696,0.79489,0.48039,0.32981,1.04366,1.28967,1.05954,0.00100687,0.00100687,0.00100687
6,132.616,1.04581,1.44644,1.0849,0.45799,0.84263,0.49941,0.35299,1.02679,1.24183,1.05781,0.000841835,0.000841835,0.000841835
7,154.504,1.00484,1.33175,1.05606,0.45628,0.85272,0.4743,0.33003,1.01147,1.20756,1.04415,0.000676802,0.000676802,0.000676802
8,174.806,0.95885,1.27398,1.05118,0.45592,0.84247,0.49068,0.35447,0.98937,1.17918,1.02205,0.000511769,0.000511769,0.000511769
9,196.543,0.91064,1.20276,1.01647,0.4677,0.77418,0.5016,0.36432,0.97801,1.19546,1.02809,0.000346736,0.000346736,0.000346736
10,217.816,0.88988,1.15515,1.00937,0.46112,0.88259,0.49072,0.36772,0.93495,1.12591,1.00388,0.000181703,0.000181703,0.000181703
